CO_MUNICIPIO;REDE;VL_OBSERVADO_2023
1503507;Estadual;4.3
1503507;Pública;4.3
1503606;Municipal;4.9
1503606;Pública;4.9
1503705;Estadual;
1503705;Municipal;3.7
1503705;Pública;3.7
1503754;Municipal;3.6
1503754;Pública;3.6
1503804;Municipal;3.4
1503804;Pública;3.4
1503903;Estadual;4.4
1503903;Municipal;4.6
1503903;Pública;4.5
1504000;Estadual;5.7
1504000;Municipal;3.8
1504000;Pública;4.1
1504059;Municipal;4.2
1504059;Pública;4.2
1504109;Estadual;3.8
1504109;Municipal;3.6
1504109;Pública;3.7
1504208;Municipal;4.6
1504208;Pública;4.6
1504307;Municipal;3.9
1504307;Pública;3.9
1504406;Municipal;3.8
1504406;Pública;3.8
1504422;Estadual;
1504422;Municipal;4.8
1504422;Pública;4.8
1504455;Municipal;3.6
1504455;Pública;3.6
1504505;Estadual;
1504505;Municipal;3.2
1504505;Pública;3.2
1504604;Municipal;3.1
1504604;Pública;3.1
1504703;Municipal;4.2
1504703;Pública;4.2
1504752;Municipal;4.4
1504752;Pública;4.4
1504802;Municipal;4.0
1504802;Pública;4.0
1504901;Municipal;4.7
1504901;Pública;4.7
1504950;Municipal;3.9
1504950;Pública;3.9
1504976;Municipal;4.0
1504976;Pública;4.0
1505007;Municipal;4.3
1505007;Pública;4.3
1505031;Municipal;4.0
1505031;Pública;4.0
1505064;Municipal;3.6
1505064;Pública;3.6
1505106;Municipal;3.8
1505106;Pública;3.8
1505205;Municipal;3.3
1505205;Pública;3.3
1505304;Municipal;4.3
1505304;Pública;4.3
1505403;Estadual;5.1
1505403;Pública;5.1
1505437;Municipal;4.4
1505437;Pública;4.4
1505486;Municipal;3.9
1505486;Pública;3.9
1505494;Municipal;4.6
1505494;Pública;4.6
1505502;Municipal;4.6
1505502;Pública;4.6
1505536;Municipal;4.5
1505536;Pública;4.5
1505551;Municipal;3.2
1505551;Pública;3.2
1505601;Municipal;4.4
1505601;Pública;4.4
1505635;Municipal;3.9
1505635;Pública;3.9
1505650;Municipal;4.4
1505650;Pública;4.4
1505700;Estadual;5.1
1505700;Municipal;4.4
1505700;Pública;4.7
1505809;Municipal;3.1
1505809;Pública;3.1
1505908;Municipal;4.5
1505908;Pública;4.5
1506005;Municipal;4.2
1506005;Pública;4.2
1506104;Estadual;4.7
1506104;Pública;4.7
1506112;Estadual;4.5
1506112;Pública;4.5
1506138;Municipal;4.5
1506138;Pública;4.5
1506161;Estadual;
1506161;Municipal;4.3
1506161;Pública;4.3
1506187;Municipal;3.8
1506187;Pública;3.8
1506195;Municipal;4.4
1506195;Pública;4.4
1506203;Estadual;4.6
1506203;Municipal;4.4
1506203;Pública;4.5
1506302;Municipal;4.0
1506302;Pública;4.0
1506351;Estadual;4.8
1506351;Pública;4.8
1506401;Estadual;4.7
1506401;Municipal;4.1
1506401;Pública;4.3
1506500;Municipal;4.3
1506500;Pública;4.3
1506559;Municipal;3.5
1506559;Pública;3.5
1506583;Estadual;
1506583;Municipal;
1506583;Pública;
1506609;Estadual;4.9
1506609;Pública;4.9
1506708;Municipal;2.9
1506708;Pública;2.9
