CO_MUNICIPIO;REDE;VL_OBSERVADO_2023
1703826;Municipal;4.3
1703826;Pública;4.3
1703842;Estadual;
1703842;Municipal;4.0
1703842;Pública;4.0
1703867;Municipal;5.0
1703867;Pública;5.0
1703883;Estadual;
1703883;Municipal;4.0
1703883;Pública;4.0
1703891;Estadual;
1703891;Municipal;4.1
1703891;Pública;4.1
1703909;Estadual;
1703909;Municipal;4.3
1703909;Pública;4.3
1704105;Estadual;
1704105;Municipal;4.5
1704105;Pública;4.5
1704600;Municipal;4.9
1704600;Pública;4.9
1705102;Estadual;
1705102;Municipal;4.8
1705102;Pública;4.8
1705508;Estadual;5.6
1705508;Municipal;5.9
1705508;Pública;5.9
1705557;Estadual;
1705557;Municipal;5.2
1705557;Pública;5.2
1705607;Estadual;
1705607;Municipal;4.8
1705607;Pública;4.8
1706001;Estadual;
1706001;Municipal;4.8
1706001;Pública;4.8
1706100;Estadual;
1706100;Municipal;5.2
1706100;Pública;5.2
1706258;Municipal;5.0
1706258;Pública;5.0
1706506;Municipal;4.8
1706506;Pública;4.8
1707009;Estadual;
1707009;Municipal;5.3
1707009;Pública;5.3
1707108;Estadual;
1707108;Municipal;5.3
1707108;Pública;5.3
1707207;Estadual;
1707207;Municipal;4.3
1707207;Pública;4.3
1707306;Estadual;
1707306;Municipal;5.0
1707306;Pública;5.0
1707405;Estadual;
1707405;Municipal;3.6
1707405;Pública;3.6
1707553;Estadual;
1707553;Municipal;4.7
1707553;Pública;4.7
1707652;Estadual;
1707652;Municipal;5.1
1707652;Pública;5.1
1707702;Estadual;
1707702;Municipal;4.3
1707702;Pública;4.3
1708205;Estadual;6.7
1708205;Municipal;5.1
1708205;Pública;5.6
1708254;Estadual;
1708254;Municipal;5.3
1708254;Pública;5.3
1708304;Estadual;
1708304;Municipal;5.3
1708304;Pública;5.3
1709005;Estadual;
1709005;Municipal;4.4
1709005;Pública;4.5
1709302;Estadual;
1709302;Municipal;5.6
1709302;Pública;5.6
1709500;Estadual;7.1
1709500;Municipal;5.5
1709500;Pública;6.2
1709807;Estadual;
1709807;Municipal;5.2
1709807;Pública;5.2
1710508;Estadual;
1710508;Municipal;5.5
1710508;Pública;5.6
1710706;Estadual;
1710706;Municipal;4.7
1710706;Pública;4.7
1710904;Municipal;5.1
1710904;Pública;5.1
1711100;Estadual;
1711100;Municipal;4.7
1711100;Pública;4.7
1711506;Municipal;5.3
1711506;Pública;5.3
1711803;Estadual;
1711803;Municipal;4.4
1711803;Pública;4.4
1711902;Estadual;
1711902;Municipal;4.4
1711902;Pública;4.4
1711951;Municipal;4.2
1711951;Pública;4.2
1712009;Estadual;
1712009;Municipal;5.3
1712009;Pública;5.3
1712157;Estadual;
1712157;Municipal;4.8
1712157;Pública;4.8
1712405;Estadual;
1712405;Municipal;4.6
1712405;Pública;4.7
1712454;Estadual;
1712454;Municipal;5.7
1712454;Pública;5.7
1712504;Estadual;
1712504;Municipal;5.3
1712504;Pública;5.3
1712702;Estadual;
1712702;Municipal;3.6
1712702;Pública;3.6
1712801;Estadual;
1712801;Municipal;4.9
1712801;Pública;4.9
1713205;Estadual;
1713205;Municipal;5.0
1713205;Pública;5.0
1713304;Estadual;
1713304;Municipal;5.2
1713304;Pública;5.2
1713601;Estadual;4.4
1713601;Municipal;4.4
1713601;Pública;4.4
1713700;Municipal;5.4
1713700;Pública;5.4
1713809;Estadual;
1713809;Municipal;4.7
1713809;Pública;4.7
1713957;Estadual;
1713957;Municipal;4.5
1713957;Pública;4.5
1714203;Estadual;
1714203;Municipal;5.3
1714203;Pública;5.3
1714302;Estadual;
1714302;Municipal;5.1
1714302;Pública;5.2
1714880;Estadual;
1714880;Municipal;3.9
1714880;Pública;3.9
1715002;Estadual;
1715002;Municipal;5.3
1715002;Pública;5.3
1715101;Estadual;
1715101;Municipal;5.1
1715101;Pública;5.1
1715150;Estadual;5.7
1715150;Pública;5.9
1715259;Estadual;
1715259;Municipal;3.7
1715259;Pública;3.7
1715507;Municipal;4.7
1715507;Pública;4.7
1715705;Estadual;
1715705;Municipal;4.2
1715705;Pública;4.2
1715754;Estadual;
1715754;Municipal;6.2
1715754;Pública;6.2
1716109;Estadual;6.0
1716109;Municipal;6.3
1716109;Pública;6.3
1716208;Estadual;
1716208;Municipal;4.3
1716208;Pública;4.3
1716307;Estadual;
1716307;Municipal;4.1
1716307;Pública;4.1
1716505;Estadual;
1716505;Municipal;6.1
1716505;Pública;6.1
1716604;Estadual;
1716604;Municipal;4.6
1716604;Pública;4.6
1716653;Estadual;6.1
1716653;Municipal;5.6
1716653;Pública;5.7
1716703;Estadual;
1716703;Municipal;4.8
1716703;Pública;4.8
1717008;Estadual;
1717008;Municipal;4.4
1717008;Pública;4.4
1717206;Municipal;4.1
1717206;Pública;4.1
1717503;Estadual;
1717503;Municipal;4.3
1717503;Pública;4.3
1717800;Estadual;
1717800;Municipal;5.2
1717800;Pública;5.2
1717909;Estadual;
1717909;Municipal;4.6
1717909;Pública;4.6
1718006;Municipal;4.8
1718006;Pública;4.8
1718204;Estadual;4.7
1718204;Municipal;5.2
1718204;Pública;5.2
1718303;Estadual;
1718303;Municipal;4.0
1718303;Pública;4.0
1718402;Estadual;
1718402;Municipal;5.7
1718402;Pública;5.7
1718451;Estadual;
1718451;Municipal;4.8
1718451;Pública;4.8
1718501;Estadual;
1718501;Municipal;4.4
1718501;Pública;4.4
1718550;Estadual;
1718550;Municipal;4.4
1718550;Pública;4.4
1718659;Estadual;
