CO_MUNICIPIO;REDE;VL_OBSERVADO_2023
2100055;Pública;4.1
2100105;Estadual;
2100105;Pública;
2100154;Estadual;3.9
2100154;Pública;3.9
2100204;Estadual;3.3
2100204;Federal;
2100204;Pública;3.3
2100303;Estadual;
2100303;Pública;
2100402;Estadual;3.1
2100402;Pública;3.1
2100436;Estadual;3.4
2100436;Pública;3.4
2100477;Estadual;3.6
2100477;Pública;3.6
2100501;Estadual;4.0
2100501;Pública;4.0
2100550;Estadual;3.9
2100550;Pública;3.9
2100600;Estadual;3.3
2100600;Municipal;
2100600;Pública;3.3
2100709;Estadual;3.4
2100709;Pública;3.4
2100808;Estadual;3.1
2100808;Pública;3.1
2100832;Estadual;3.5
2100832;Pública;3.5
2100873;Estadual;
2100873;Pública;
2100907;Estadual;3.6
2100907;Federal;4.2
2100907;Pública;3.7
2100956;Estadual;3.3
2100956;Pública;3.3
2101004;Estadual;3.6
2101004;Pública;3.6
2101103;Estadual;3.9
2101103;Pública;3.9
2101202;Estadual;3.7
2101202;Federal;4.9
2101202;Pública;3.8
2101251;Estadual;4.0
2101251;Pública;4.0
2101301;Estadual;3.5
2101301;Pública;3.5
2101350;Estadual;3.9
2101350;Pública;3.9
2101400;Estadual;4.1
2101400;Pública;4.1
2101509;Estadual;3.5
2101509;Pública;3.5
2101608;Estadual;4.0
2101608;Federal;5.0
2101608;Pública;4.1
2101707;Estadual;3.5
2101707;Federal;
2101707;Pública;3.6
2101731;Estadual;2.6
2101731;Pública;2.6
2101772;Estadual;3.2
2101772;Pública;3.2
2101806;Estadual;4.1
2101806;Pública;4.1
2101905;Estadual;3.3
2101905;Pública;3.3
2101939;Estadual;3.5
2101939;Pública;3.5
2101970;Estadual;3.1
2101970;Pública;3.1
2102002;Estadual;3.2
2102002;Pública;3.2
2102036;Estadual;3.6
2102036;Pública;3.6
2102077;Estadual;3.4
2102077;Pública;3.4
2102101;Estadual;3.4
2102101;Pública;3.4
2102150;Estadual;2.9
2102150;Pública;2.9
2102200;Estadual;3.2
2102200;Pública;3.2
2102309;Estadual;4.1
2102309;Pública;4.1
2102325;Estadual;3.4
2102325;Federal;
2102325;Pública;3.6
2102358;Estadual;3.3
2102358;Pública;3.3
2102374;Estadual;3.4
2102374;Pública;3.4
2102408;Estadual;2.6
2102408;Pública;2.6
2102507;Estadual;3.5
2102507;Pública;3.5
2102556;Estadual;3.7
2102556;Pública;3.7
2102606;Estadual;3.4
2102606;Pública;3.4
2102705;Estadual;3.5
2102705;Pública;3.5
2102754;Estadual;3.9
2102754;Pública;3.9
2102804;Estadual;4.4
2102804;Pública;4.4
2102903;Estadual;3.6
2102903;Pública;3.6
2103000;Estadual;3.8
2103000;Federal;
2103000;Pública;3.8
2103109;Estadual;3.8
2103109;Pública;3.8
2103125;Estadual;3.2
2103125;Pública;3.2
2103158;Estadual;3.5
2103158;Pública;3.5
2103174;Estadual;3.1
2103174;Pública;3.1
2103208;Estadual;3.8
2103208;Pública;3.8
2103257;Estadual;3.5
2103257;Pública;3.5
2103307;Estadual;4.0
2103307;Federal;4.3
2103307;Pública;4.0
2103406;Estadual;3.6
2103406;Federal;4.1
2103406;Pública;3.7
2103505;Estadual;3.5
2103505;Pública;3.5
2103554;Estadual;3.5
2103554;Pública;3.5
2103604;Estadual;3.7
2103604;Pública;3.7
2103703;Estadual;3.6
2103703;Pública;3.6
2103752;Estadual;3.9
2103752;Pública;3.9
2103802;Estadual;5.0
2103802;Pública;5.0
2103901;Estadual;3.4
2103901;Pública;3.4
2104008;Estadual;4.1
