ID_ESCOLA;REDE;VL_OBSERVADO_2023
13016245;Municipal;
13016300;Estadual;
13016318;Estadual;4.7
13061755;Municipal;
13061968;Municipal;3.3
13073028;Municipal;3.2
13103440;Estadual;4.1
13263250;Municipal;3.9
13046527;Estadual;
13046535;Estadual;
13046586;Municipal;
13101056;Estadual;4.0
13008552;Estadual;
13008749;Municipal;3.2
13008790;Estadual;5.1
13064410;Estadual;4.3
13084461;Estadual;
13096656;Estadual;4.0
13102281;Estadual;
13020269;Estadual;5.5
13020579;Municipal;4.0
13020790;Estadual;
13020803;Estadual;4.3
13020811;Estadual;4.1
13057774;Municipal;
13057847;Municipal;
13059297;Municipal;
13062727;Municipal;
13062735;Municipal;4.1
13062743;Municipal;5.2
13067010;Municipal;3.2
13067028;Municipal;3.5
13072595;Municipal;
13076833;Municipal;4.2
13080920;Municipal;
13081900;Municipal;4.3
13081918;Municipal;3.9
13094742;Municipal;
13100742;Municipal;
13020927;Municipal;3.0
13020986;Municipal;3.4
13021010;Estadual;3.9
13021028;Estadual;4.9
13021036;Estadual;3.2
13021052;Estadual;
13021079;Municipal;4.5
13021095;Municipal;
13021133;Municipal;4.0
13021168;Municipal;3.9
13021354;Estadual;4.9
13021362;Estadual;4.6
13021370;Municipal;
13021389;Municipal;2.9
13021397;Municipal;4.7
13021460;Municipal;
13056506;Municipal;3.8
13056662;Municipal;
13066560;Municipal;3.4
13087282;Municipal;
13016407;Municipal;
13016539;Municipal;
13016776;Estadual;3.9
13016792;Estadual;4.4
13016830;Municipal;
13016865;Municipal;
13016946;Municipal;
13017250;Municipal;
13017322;Municipal;3.7
13017454;Municipal;
13017888;Municipal;
13018221;Estadual;3.9
13018230;Estadual;
13018302;Estadual;4.0
13056077;Municipal;3.4
13056093;Municipal;
13059602;Estadual;4.1
13069314;Municipal;4.0
13069403;Municipal;
13069519;Municipal;3.1
13089358;Municipal;3.6
13091697;Municipal;
13113607;Municipal;
13018370;Estadual;
13018396;Estadual;
13018450;Estadual;4.1
13018825;Municipal;3.4
13018914;Estadual;4.7
13072978;Municipal;
13096613;Estadual;4.2
13009010;Estadual;4.9
13009699;Estadual;4.9
13009753;Estadual;
13059432;Estadual;2.5
13078259;Estadual;3.4
13010042;Estadual;4.5
13010492;Municipal;
13010557;Estadual;
13055429;Estadual;3.7
13090917;Municipal;
13319272;Municipal;
13006576;Estadual;
13006584;Municipal;3.4
13006592;Estadual;4.6
13006606;Estadual;4.2
13006614;Estadual;3.5
13006622;Estadual;
13076604;Municipal;3.0
13011294;Estadual;3.5
13011308;Estadual;
13220314;Estadual;2.5
13304313;Estadual;4.3
13049992;Municipal;4.8
13050036;Municipal;3.9
13050060;Municipal;2.9
13050141;Estadual;
13050168;Estadual;5.3
13050354;Municipal;4.1
13050419;Municipal;3.4
13050427;Municipal;
13050478;Municipal;3.0
13050850;Municipal;4.3
13050990;Municipal;4.2
13051059;Municipal;3.9
13051148;Estadual;
13051156;Estadual;3.7
13051172;Estadual;
13051199;Estadual;4.1
13051202;Municipal;4.8
13051210;Municipal;4.0
13051237;Municipal;4.5
13059262;Estadual;
13060724;Municipal;
13060791;Municipal;3.1
13064576;Municipal;4.9
13073516;Municipal;
13082019;Municipal;3.1
13102508;Estadual;
13103709;Municipal;3.6
13108425;Municipal;4.5
13125400;Estadual;
13011413;Estadual;
13011898;Estadual;
13087266;Estadual;3.3
13271210;Estadual;
13021575;Municipal;3.6
13021630;Estadual;
13021648;Estadual;
13021672;Municipal;4.0
13021680;Municipal;3.7
13021699;Municipal;4.3
13021729;Municipal;
13021737;Municipal;3.9
13021842;Municipal;3.6
13021869;Municipal;3.6
13021958;Municipal;
13022172;Municipal;
13022210;Municipal;4.5
13022296;Municipal;
13022300;Municipal;
13063529;Municipal;4.3
13063561;Municipal;4.4
13063588;Municipal;
13079700;Municipal;
13081268;Estadual;4.6
13082469;Municipal;
13089536;Municipal;4.2
13097008;Municipal;
13101030;Estadual;5.0
13101579;Estadual;4.7
13102621;Municipal;
13307339;Municipal;3.3
13310240;Municipal;3.4
13032941;Municipal;
13033000;Municipal;
13033204;Municipal;3.5
13033328;Municipal;3.9
13033433;Municipal;
13033468;Municipal;3.4
13033530;Municipal;3.5
13033611;Estadual;4.4
13033646;Estadual;4.8
13033859;Municipal;3.9
13034170;Municipal;
13034200;Municipal;3.6
13034243;Municipal;4.4
13034308;Municipal;2.4
13034650;Municipal;
13034910;Municipal;3.3
13034928;Municipal;3.7
13035240;Estadual;
13035274;Estadual;
13035282;Estadual;5.2
13035290;Estadual;
13035304;Estadual;
13035312;Estadual;5.2
13035320;Estadual;
13059599;Estadual;
13059670;Municipal;3.4
13059696;Estadual;
13059912;Municipal;
13059980;Municipal;
13060244;Municipal;
13084267;Estadual;5.9
13084275;Municipal;4.3
13084356;Municipal;
13087851;Municipal;3.7
13090550;Municipal;
13094092;Municipal;
13096621;Estadual;5.2
13101781;Municipal;4.4
13101790;Municipal;
13103490;Municipal;3.8
13304356;Estadual;4.2
13012096;Estadual;
13012282;Estadual;4.6
13080130;Municipal;
13103539;Municipal;2.5
13276220;Municipal;
13035770;Estadual;
13035789;Municipal;
13035924;Municipal;
13035932;Estadual;5.7
13079484;Municipal;4.2
13003208;Estadual;
13003224;Estadual;
13061518;Municipal;
13095234;Estadual;5.8
13096680;Estadual;3.9
13102567;Municipal;
13012320;Municipal;
13012339;Municipal;
13012495;Municipal;
13082701;Estadual;3.8
13101064;Estadual;
13006711;Estadual;3.8
13006819;Municipal;2.1
13007041;Municipal;2.3
13007157;Municipal;3.0
13007203;Estadual;4.3
13060201;Municipal;
13071157;Municipal;2.6
13076566;Municipal;2.6
13084968;Municipal;
13100157;Municipal;
13231200;Estadual;
13259210;Estadual;
13046829;Estadual;4.5
13046896;Estadual;4.6
13047396;Municipal;
13047469;Estadual;
13059491;Municipal;
13063383;Estadual;
13074814;Municipal;3.6
13087584;Municipal;3.5
13022423;Municipal;4.5
13022555;Municipal;3.2
13022644;Estadual;5.2
13022652;Estadual;4.9
13022687;Estadual;5.4
13022695;Estadual;
13022725;Estadual;
13022784;Municipal;2.6
13022865;Municipal;3.9
13022903;Municipal;4.2
13022938;Municipal;3.5
13022989;Municipal;
13023047;Municipal;3.1
13023071;Municipal;3.6
13023519;Municipal;4.2
13023535;Municipal;3.6
13023667;Municipal;3.7
